TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE
FTEC,Fidelity MSCI Information Technology Index ETF,Technology Select Sector,37.15,0.0635,-0.0954,0.2226,0.0083,IXT,13.870000000000001,34.79
XLK,Technology Select Sector SPDR Fund,Technology Select Sector,37.15,0.0635,-0.0954,0.2226,0.0083,IXT,13.870000000000001,34.79
VGT,Vanguard Information Technology ETF,Technology Select Sector,37.15,0.0635,-0.0954,0.2226,0.0083,IXT,13.870000000000001,34.79
FUTY,Fidelity MSCI Utilities Index ETF,MSCI USA Utilities,20.84,-0.0107,-0.1145,0.0931,0.0,MXUS0UT,9.23,20.650000000000002
IDU,iShares US Utilities ETF,MSCI USA Utilities,20.84,-0.0107,-0.1145,0.0931,0.0,MXUS0UT,9.23,20.650000000000002
VPU,Vanguard Utilities ETF,MSCI USA Utilities,20.84,-0.0107,-0.1145,0.0931,0.0,MXUS0UT,9.23,20.650000000000002
XLU,Utilities Select Sector SPDR Fund,MSCI USA Utilities,20.84,-0.0107,-0.1145,0.0931,0.0,MXUS0UT,9.23,20.650000000000002
IUSV,iShares Core S&P U.S. Value ETF,S&P 500 Value,22.28,-0.032,-0.12,0.0559,0.0,SVX,7.9399999999999995,21.430000000000003
IVE,iShares S&P 500 Value ETF,S&P 500 Value,22.28,-0.032,-0.12,0.0559,0.0,SVX,7.9399999999999995,21.430000000000003
SPYV,SPDR Portfolio S&P 500 Value ETF,S&P 500 Value,22.28,-0.032,-0.12,0.0559,0.0,SVX,7.9399999999999995,21.430000000000003
VOOV,Vanguard S&P 500 Value ETF,S&P 500 Value,22.28,-0.032,-0.12,0.0559,0.0,SVX,7.9399999999999995,21.430000000000003
